ItemNo,ItemName
HA8670,HASENCLEVER INDEX
HA8270,EXTRAMEDULLARY DISEASE
HA8280,ANN ARBOR STAGE
HA8240,BINET STAGE
HA9100,R-ISS STAGE for MYELOMA
CT6250,MURPHY (ST JUDE) STAGE
HA8290,ANN ARBOR SYMPTOMS
HA8300,ANN ARBOR EXTRANODALIT
HA8310,ANN ARBOR BULK
HA8680,ANN ARBOR SPLENIC INVOLVEMENT
HA9200,EUROPEAN LEUKAEMIA NET (ELN) GENETIC RISK (ACUTE MYELOID LEUKAEMIA)
HA8150,WHITE BLOOD CELL COUNT (HIGHEST PRE TREATMENT)
CT7330,BONE MARROW BLASTS
CT6240,CYTOGENETICS SUBSIDIARY COMMENT
CT7340,CELLULARITY
CT7350,DEB TEST
CT7360,DYSPLASTIC HAEMOPOIESIS
CT7700,POST INDUCTION MRD
CT7200,MIXED PHENOTYPE SYMPTOMS (AT DIAGNOSIS)
CT7240,EGIL SCORE
CT7160,FAB CLASSIFICATION
CT7170,PAEDIATRIC CYTOGENETIC / MOLECULAR GENETIC RISK GROUP
CT7180,AML RISK FACTORS
CT7260,PAEDIATRIC MYELODYSPLASIA
CT7270,UNDERLYING DISEASE ASSOCIATED WITH MDS
CT7380,CONGENITAL ANOMALIES
CT7310,MYELODYSPLASIA SYMPTOMS AT DIAGNOSIS
CT7110,PRIMARY INDUCTION FAILURE
CT6260,ALK FUSION STATUS FOR ALCL
HN9300,SURGICAL ACCESS TYPE
HN9310,OTHER SURGICAL ACCESS TYPE
HN9060,CANCER DENTAL ASSESSMENT DATE
HN9050,CARE CONTACT DATE (DIETITIAN INITIAL)
HN9200,CARE CONTACT DATE (SLT INITIAL)
HN9000,CLINICAL STATUS ASSESSMENT DATE (CANCER)
HN9010,PRIMARY TUMOUR STATUS
HN9020,NODAL STATUS
HN9030,METASTATIC STATUS
HN9080,SPEECH & LANGUAGE ASSESSMENT DATE
LV16000,LIVER SURVEILLANCE SCANS
LV16010,LIVER CIRRHOSIS TYPE
LV16020,CAUSE OF LIVER CIRRHOSIS
LV16400,CHOLANGIOCARCINOMA CATEGORY
LV16100,BARCELONA CLINIC LIVER CANCER (BCLC) STAGE
LV16120,PORTAL INVASION
LV16130,UKELD SCORE
LV16140,CHILD-PUGH SCORE
LV16300,ABLATIVE THERAPY TYPE
LV16320,EMBOLISATION MODALITY
LV16200,LIVER TRANSPLANTATION
LV16210,SURGERY TYPE
LU10090,EPIDERMAL GROWTH FACTOR RECEPTOR MUTATIONAL STATUS
LU10500,ALK FUSION STATUS
LU10510,ROS1 FUSION STATUS
LU10520,PD-L1 EXPRESSION
LU10390,REGIONAL ANAESTHETIC TECHNIQUE
SA11000,SARCOMA TUMOUR SITE (BONE)
SA11010,SARCOMA TUMOUR SUBSITE (BONE)
SA11080,SARCOMA TUMOUR SITE (SOFT TISSUE)
SA11090,SARCOMA TUMOUR SUBSITE (SOFT TISSUE)
SA11025,MULTIFOCAL OR SYNCHRONOUS TUMOUR INDICATOR
CT6350,IRS POST SURGICAL GROUP
CT6750,IRS POST SURGICAL GROUP DATE
CT6370,RHABDOMYOSARCOMA SITE PROGNOSIS CODE
CT6450,TUMOUR VOLUME AT DIAGNOSIS
CT6360,CYTOGENETICS FOR ALVEOLAR RHABDOMYOSARCOMA
CT6460,CYTOGENETICS FOR EWINGS SARCOMA
SK12010,GRADE OF CLINICIAN/SURGEON OPERATING
SK12700,MEMBER OF SPECIALIST MDT
UG13810,PALLIATIVE TREATMENT REASON (UPPER GI)
UG14230,POST OPERATIVE TUMOUR SITE (UPPER GI)
UG15010,SURGICAL COMPLICATIONS - INTERNATIONAL ESOPHAGEAL DATABASE (ESODATA)
UG15020,LEAK SEVERITY TYPE
UG15030,CONDUIT NECROSIS/FAILURE TYPE
UG15040,RECURRENT LARYNGEAL NERVE INJURY INVOLVEMENT TYPE
UG15050,CHYLE LEAK SEVERITY TYPE
UG15060,CALVIEN-DINDO CLASSIFICATION of SURGICAL CLASSIFICATIONS
UG15070,ADDITIONAL COMPLICATIONS
UG15110,CHANGE IN LEVEL OF CARE
UG15120,BLOOD PRODUCT UTILISATION
UG15130,NUMBER OF UNITS TRANSFUSED
UG15200,SURGICAL APPROACH TYPE
UG15210,OPEN APPROACH TYPE
UG15220,MINIMALLY INVASIVE APPROACH TYPE
UG15230,ANASTOMOSIS TYPE
UG15240,OESOPHAGEAL CONDUIT TYPE
UG15250,NECK DISSECTION
UG13240,SURGICAL PALLIATION TYPE
UG14290,ENDOSCOPIC PROCEDURE TYPE
UG13090,ENDOSCOPIC OR RADIOLOGICAL COMPLICATION TYPE
UR15410,PROSTATE BIOPSY TECHNIQUE
UR15440,BIOPSY ANAESTHETIC
UR15500,mpMRI PRE-BIOPSY
UR15510,MRI/FUSION BIOPSY
UR15070,PSA (DIAGNOSIS)
UR15000,ESTIMATED GLOMERULAR FILTRATION RATE
UR15010,HYDRONEPHROSIS
UR15030,S-CATEGORY
UR15040,S-CATEGORY AFP
UR15050,S-CATEGORY HCG
UR15060,S-CATEGORY LDH
UR15020,NORMAL LDH
UR15300,STAGE GROUPING (TESTICULAR)
UR15320,EXTRANODAL METASTASES
UR15330,LUNG METASTASES SUB-STAGE GROUPING
UR15100,INTRAVESICAL CHEMOTHERAPY RECEIVED INDICATOR
UR15110,INTRAVESICAL IMMUNOTHERAPY RECEIVED INDICATOR
UR15420,PROCEDURE - NERVE SPARING
UR15430,RADICAL PROSTATECTOMY MARGIN STATUS
pCR0780,INVESTIGATION RESULT DATE
pCR0950,SERVICE REPORT IDENTIFIER
pCR6220,PATHOLOGY OBSERVATION REPORT IDENTIFIER
pCR0960,SERVICE REPORT STATUS
pCR7100,PROFESSIONAL REGISTRATION ISSUER CODE - CONSULTANT (PATHOLOGY TEST REQUESTED BY)
pCR7120,PROFESSIONAL REGISTRATION ENTRY IDENTIFIER - CONSULTANT (PATHOLOGY TEST REQUESTED BY)
pCR0980,ORGANISATION SITE IDENTIFIER (PATHOLOGY TEST REQUESTED BY)
pCR1010,SAMPLE COLLECTION DATE
pCR0770,SAMPLE RECEIPT DATE
pCR0800,ORGANISATION IDENTIFIER (OF REPORTING PATHOLOGIST)
pCR7130,PROFESSIONAL REGISTRATION ISSUER CODE - CONSULTANT (PATHOLOGIST)
pCR7140,PROFESSIONAL REGISTRATION ENTRY IDENTIFIER - CONSULTANT (PATHOLOGIST)
pCR0970,SPECIMEN NATURE
pCR6990,SNOMED VERSION (PATHOLOGY)
pCR6410,TOPOGRAPHY (SNOMED) PATHOLOGY
pCR6420,MORPHOLOGY (SNOMED) PATHOLOGYL)
pCR0810,DIAGNOSIS (ICD PATHOLOGICAL)
pCR0820,TUMOUR LATERALITY (PATHOLOGICAL)
pCR0760,PATHOLOGY INVESTIGATION TYPE
pCR1020,PATHOLOGY REPORT TEXT
pCR0830,LESION SIZE (PATHOLOGICAL)
pCR0860,GRADE OF DIFFERENTIATION (PATHOLOGICAL)
pCR0870,CANCER VASCULAR OR LYMPHATIC INVASION
pCR0880,EXCISION MARGIN
pCR0840,SYNCHRONOUS TUMOUR INDICATOR
pCR0890,NUMBER OF NODES EXAMINED
pCR0900,NUMBER OF NODES POSITIVE
pCR6980,TNM CODING EDITION
pCR6820,TNM VERSION NUMBER (PATHOLOGICAL)
pCR0910,T CATEGORY (PATHOLOGICAL)
pCR0920,N CATEGORY (PATHOLOGICAL)
pCR0930,M CATEGORY (PATHOLOGICAL)
pCR0940,TNM STAGE GROUPING (PATHOLOGICAL)
pCR1000,NEOADJUVANT THERAPY INDICATOR
pCR7000,Ki-67 INDICATOR
pCR7010,Ki-67 RESULT
pCR7020,MLH1 NUCLEAR EXPRESSION INTACT
pCR7030,PMS2 NUCLEAR EXPRESSION INTACT
pCR7040,MSH2 NUCLEAR EXPRESSION INTACT
pCR7050,MSH6 NUCLEAR EXPRESSION INTACT
pCR7060,MICROSATELLITE INSTABILITY (MSI) TESTING
pBR4140,MULTIFOCAL TUMOUR INDICATOR (BREAST)
pBR4160,DCIS grade
pBR4180,DCIS/PLEOMORPHIC OR DCIS LIKE LCIS SIZE
pBR4190,WHOLE TUMOUR (INVASIVE + DCIS) SIZE
pBR4200,METASTASIS EXTENT CODE
pBR4210,DISTANCE TO MARGIN
pBR4230,ER ALLRED SCORE
pBR4220,ER STATUS
pBR4300,PR ALLRED SCORE
pBR4290,PR STATUS
pBR4280,HER2 STATUS
pBR4310,HER2 ISH STATUS
pBR4240,CYTOLOGY (BREAST)
pBR4250,CYTOLOGY (NODE)
pBR4260,CORE BIOPSY (BREAST)
pBR4270,CORE BIOPSY (NODE)
pBA3070,MOLECULAR DIAGNOSTICS CODE
pBA3150,IMMUNOHISTOCHEMISTRY HORMONE EXPRESSION TYPE
pCO5190,POSITIVE PROXIMAL OR DISTAL RESECTION MARGIN
pCO5210,DISTANCE TO CIRCUMFERENTIAL MARGIN
pCO5260,PLANE OF SURGICAL EXCISION
pCO5270,DISTANCE FROM DENTATE LINE
pCO5280,DISTANCE BEYOND MUSCULARIS PROPRIA
pCO5290,RESPONSE TO PREOPERATIVE THERAPY
pCO5300,STATUS OF CIRCUMFERENTIAL EXCISION MARGIN
pCT6610,TUMOUR RUPTURE
pCT6620,ANAPLASTIC NEPHROBLASTOMA
pCT6630,PERIRENAL FAT INVASION
pCT6640,RENAL SINUS INVASION
pCT6650,RENAL VEIN TUMOUR
pCT6680,VIABLE TUMOUR AT RESECTION MARGIN
pCT6670,TUMOUR LOCAL STAGE (PATHOLOGICAL)
pGY7050,FALLOPIAN TUBE INVOLVEMENT
pGY7120,OVARIAN INVOLVEMENT
pGY7130,SEROSAL INVOLVEMENT
pGY7100,OMENTAL INVOLVEMENT
pGY7140,CAPSULE STATUS
pGY7190,OVARIAN SURFACE INVOLVEMENT
pGY7170,PERITONEAL CYTOLOGY
pGY7180,PERITONEAL INVOLVEMENT
pGY7240,INVOLVEMENT OF CERVICAL STROMA
pGY7260,MYOMETRIAL INVASION
pGY7270,PARAMETRIUM INVOLVEMENT
pGY7280,PERITONEAL WASHINGS
pGY7500,PERITONEAL INVOLVEMENT (ENDOMETRIAL)
pGY7510,SITE OF PERITONEAL INVOLVEMENT
pGY7290,CGIN GRADE
pGY7300,CIN GRADE
pGY7350,SMILE
pGY7310,EXCISION MARGIN (PRE INVASIVE)
pGY7340,PARACERVICAL OR PARAMETRIAL INVOLVEMENT
pGY7360,THICKNESS UNINVOLVED STROMA
pGY7370,VAGINAL INVOLVEMENT
pGY7450,INVASIVE THICKNESS
pGY7060,NODES EXAMINED NUMBER (PARA-AORTIC)
pGY7080,NODES POSITIVE NUMBER (PARA-AORTIC)
pGY7070,NODES EXAMINED NUMBER (PELVIC)
pGY7090,NODES POSITIVE NUMBER (PELVIC)
pGY7410,NODES EXAMINED NUMBER (INGUINO-FEMORAL)
pGY7420,NODES POSITIVE NUMBER (INGUINO-FEMORAL)
pGY7230,EXTRANODAL  SPREAD
pHN9300,MAXIMUM DEPTH OF INVASION
pHN9310,BONE INVASION
pHN9320,CARTILAGE INVASION
pHN9330,NECK DISSECTION LATERALITY
pHN9390,MACROSCOPIC EXTRAGLANDULAR EXTENSION
pHN9400,POSITIVE NODES LATERALITY
pHN9410,LARGEST METASTASIS LEFT NECK
pHN9420,LARGEST METASTASIS RIGHT NECK
pHN9430,EXTRACAPSULAR SPREAD
pHN9500,p16 TESTING INDICATOR
pHN9510,HPV-ISH TESTING
pLU10110,EXTENT OF ATELECTASIS
pLU10120,EXTENT OF PLEURAL INVASION
pLU10130,PERICARDIAL INVASION
pLU10140,DIAPHRAGM INVASION
pLU10150,INVASION INTO GREAT VESSEL
pLU10160,INVASION INTO HEART
pLU10170,MALIGNANT PLEURAL EFFUSION
pLU10190,INVASION INTO MEDIASTINUM
pLU10180,SATELLITE TUMOUR NODULES LOCATION
pSA11170,GENETIC CONFIRMATION INDICATOR
pSA11130,EXTENT OF LOCAL SPREAD (BONE)
pSA11140,TUMOUR NECROSIS
pSA11100,TUMOUR DEPTH
pSA11220,MITOTIC RATE (SARCOMA)
pSK12120,SKIN CANCER LESION INDICATOR
pSK12530,PERINEURAL INVASION
pSK12537,LESION DIAMETER GREATER THAN 20MM INDICATOR
pSK12120,SKIN CANCER LESION INDICATOR
pSK12530,PERINEURAL INVASION
pSK12537,LESION DIAMETER GREATER THAN 20MM INDICATOR
pSK12545,CLARKS LEVEL IV INDICATOR
pSK12565,LESION VERTICAL THICKNESS GREATER THAN 2MM INDICATOR
pSK12120,SKIN CANCER LESION INDICATOR
pSK12580,ULCERATION INDICATOR
pSK12590,MITOTIC RATE (SKIN)
pSK12600,MICROSATELLITE OR IN-TRANSIT METASTASIS INDICATOR
pSK12620,TUMOUR REGRESSION INDICATOR
pSK12630,BRESLOW THICKNESS
pSK12430,TUMOUR INFILTRATING LYMPHOCYTES (TILS)
pSK12460,SENTINEL NODES EXAMINED NUMBER
pSK12470,SENTINEL NODES POSITIVE NUMBER
pSK12480,POST SNB COMPLETION LYMPHADENECTOMY - NODES SAMPLED NUMBER
pSK12490,POST SNB COMPLETION LYMPHADENECTOMY - NODES POSITIVE NUMBER
pUG14500,TOTAL NUMBER OF COLORECTAL METASTASES IN LIVER CODE
pUG14480,EXCISION MARGIN (PROXIMAL DISTAL)
pUG14490,EXCISION MARGIN (CIRCUMFERENTIAL)
pUR15120,DETRUSOR MUSCLE PRESENCE INDICATOR
pUR15290,TUMOUR GRADE (UROLOGICAL)
pUR15130,TUMOUR NECROSIS INDICATOR
pUR15140,PERINEPHRIC FAT INVASION
pUR15150,ADRENAL INVASION
pUR15160,RENAL VEIN TUMOUR
pUR15170,GEROTA'S FASCIA INVASION
pUR15180,CORPUS SPONGIOSUM INVASION
pUR15190,CORPUS CAVERNOSUM INVASION
pUR15200,URETHRA OR PROSTATE INVASION
pUR15210,GLEASON GRADE (PRIMARY)
pUR15220,GLEASON GRADE (SECONDARY)
pUR15230,GLEASON GRADE (TERTIARY)
pUR15240,PERINEURAL INVASION
pUR15270,TURP TUMOUR PERCENTAGE
pUR15310,RETE TESTES INVASION